Month,Sales
01-01-2016,14057
02-01-2016,15475
03-01-2016,14524
04-01-2016,15661
05-01-2016,12355
06-01-2016,9033
07-01-2016,13934
08-01-2016,13027
09-01-2016,16746
10-01-2016,14611
11-01-2016,14594
12-01-2016,14538
01-01-2017,14545
02-01-2017,12328
03-01-2017,15513
04-01-2017,23804
05-01-2017,16532
06-01-2017,9902
07-01-2017,13738
08-01-2017,12631
09-01-2017,13193
10-01-2017,12057
11-01-2017,13337
12-01-2017,9793
01-01-2018,14445
02-01-2018,17291
03-01-2018,19207
04-01-2018,22776
05-01-2018,19208
06-01-2018,18171
07-01-2018,19993
08-01-2018,19115
09-01-2018,22228
10-01-2018,17215
11-01-2018,22191
12-01-2018,11790
01-01-2019,18795
02-01-2019,18224
03-01-2019,14218
04-01-2019,15776
05-01-2019,17039
06-01-2019,16330
07-01-2019,12677
08-01-2019,12444
09-01-2019,12934
10-01-2019,19401
11-01-2019,19314
12-01-2019,14749
01-01-2020,19981
02-01-2020,18686
03-01-2020,8575
04-01-2020,0
05-01-2020,597
06-01-2020,4013
07-01-2020,10173
08-01-2020,14869
09-01-2020,22643
10-01-2020,24589
11-01-2020,18498
12-01-2020,18131
01-01-2021,17180
02-01-2021,20264
03-01-2021,21714
04-01-2021,18316
05-01-2021,7005
06-01-2021,17727
07-01-2021,18434
08-01-2021,12483
09-01-2021,2520
10-01-2021,9180
11-01-2021,14568
12-01-2021,15661
01-01-2022,19108
02-01-2022,19202
03-01-2022,13623
